detector,descriptor,img_id,ttc_camera,ttc_lidar,offset_t,offset_p,camera_time,lidar_time
HARRIS,BRIEF,0001,nan,12.9722,nan,nan,0,43.7125
HARRIS,BRIEF,0002,nan,12.6181,nan,nan,0,41.8775
HARRIS,BRIEF,0003,17.2852,13.0901,4.19507,0.276217,0.065536,37.6177
HARRIS,BRIEF,0004,nan,10.5159,nan,nan,0,38.7318
HARRIS,BRIEF,0005,nan,11.6834,nan,nan,0.065536,43.2538
HARRIS,BRIEF,0006,13.1331,14.3362,1.20308,0.0875945,0,42.2707
HARRIS,BRIEF,0007,11.9876,23.3809,11.3932,0.644259,0.065536,39.4527
HARRIS,BRIEF,0008,10.8513,21.8421,10.9908,0.672358,0.065536,37.8143
HARRIS,BRIEF,0009,9.99693,13.7378,3.74083,0.315221,0,35.7827
HARRIS,BRIEF,0010,nan,18.0818,nan,nan,0,36.1759
HARRIS,BRIEF,0011,nan,16.5097,nan,nan,0.065536,35.6516
HARRIS,BRIEF,0012,nan,12.5438,nan,nan,0,38.7973
HARRIS,BRIEF,0013,nan,9.66153,nan,nan,0,41.0255
HARRIS,BRIEF,0014,11.4229,10.0954,1.32745,0.123379,0.065536,43.5814
HARRIS,BRIEF,0015,-inf,9.53099,inf,-nan,0,42.4018
HARRIS,BRIEF,0016,-inf,8.45407,inf,-nan,0.065536,41.6809
HARRIS,BRIEF,0017,3.16514,9.55324,6.3881,1.00455,0.065536,40.8945
HARRIS,BRIEF,0018,4.76839e-07,9.30116,9.30116,2,0,43.778
HARRIS,BRISK,0001,nan,12.9722,nan,nan,0,42.3363
HARRIS,BRISK,0002,nan,12.6181,nan,nan,0,40.5012
HARRIS,BRISK,0003,nan,13.0901,nan,nan,0.065536,36.7002
HARRIS,BRISK,0004,nan,10.5159,nan,nan,0.065536,39.2561
HARRIS,BRISK,0005,nan,11.6834,nan,nan,0.065536,42.795
HARRIS,BRISK,0006,nan,14.3362,nan,nan,0.065536,42.2707
HARRIS,BRISK,0007,nan,23.3809,nan,nan,0.065536,39.9114
HARRIS,BRISK,0008,9.7601,21.8421,12.082,0.764629,0.065536,37.8143
HARRIS,BRISK,0009,nan,13.7378,nan,nan,0.065536,35.1273
HARRIS,BRISK,0010,nan,18.0818,nan,nan,0.065536,34.5375
HARRIS,BRISK,0011,nan,16.5097,nan,nan,0,37.4866
HARRIS,BRISK,0012,nan,12.5438,nan,nan,0.065536,38.2075
HARRIS,BRISK,0013,nan,9.66153,nan,nan,0.065536,41.3532
HARRIS,BRISK,0014,nan,10.0954,nan,nan,0,43.5159
HARRIS,BRISK,0015,nan,9.53099,nan,nan,0,42.1396
HARRIS,BRISK,0016,nan,8.45407,nan,nan,0,42.1396
HARRIS,BRISK,0017,nan,9.55324,nan,nan,0,41.0911
HARRIS,BRISK,0018,nan,9.30116,nan,nan,0.065536,41.6154
HARRIS,ORB,0001,nan,12.9722,nan,nan,0.065536,42.3363
HARRIS,ORB,0002,nan,12.6181,nan,nan,0.065536,40.5012
HARRIS,ORB,0003,nan,13.0901,nan,nan,0.065536,36.6346
HARRIS,ORB,0004,nan,10.5159,nan,nan,0.065536,40.108
HARRIS,ORB,0005,12.0878,11.6834,0.404421,0.0340261,0.065536,42.8605
HARRIS,ORB,0006,14.5437,14.3362,0.207495,0.0143695,0.065536,42.8605
HARRIS,ORB,0007,12.906,23.3809,10.4748,0.577335,0,39.1905
HARRIS,ORB,0008,11.1845,21.8421,10.6576,0.645396,0.065536,38.0109
HARRIS,ORB,0009,10.8223,13.7378,2.91544,0.237413,0,35.9793
HARRIS,ORB,0010,nan,18.0818,nan,nan,0,33.9476
HARRIS,ORB,0011,nan,16.5097,nan,nan,0,36.5691
HARRIS,ORB,0012,nan,12.5438,nan,nan,0.065536,37.7487
HARRIS,ORB,0013,nan,9.66153,nan,nan,0,40.8289
HARRIS,ORB,0014,nan,10.0954,nan,nan,0.065536,43.3193
HARRIS,ORB,0015,nan,9.53099,nan,nan,0,42.9916
HARRIS,ORB,0016,nan,8.45407,nan,nan,0.065536,42.2707
HARRIS,ORB,0017,nan,9.55324,nan,nan,0.065536,40.6979
HARRIS,ORB,0018,nan,9.30116,nan,nan,0,42.1396
HARRIS,FREAK,0001,nan,12.9722,nan,nan,0,42.9916
HARRIS,FREAK,0002,nan,12.6181,nan,nan,0.065536,41.2221
HARRIS,FREAK,0003,nan,13.0901,nan,nan,0.065536,37.0934
HARRIS,FREAK,0004,nan,10.5159,nan,nan,0,39.1905
HARRIS,FREAK,0005,nan,11.6834,nan,nan,0,42.3363
HARRIS,FREAK,0006,nan,14.3362,nan,nan,0,41.943
HARRIS,FREAK,0007,nan,23.3809,nan,nan,0.065536,38.5352
HARRIS,FREAK,0008,nan,21.8421,nan,nan,0,37.4211
HARRIS,FREAK,0009,nan,13.7378,nan,nan,0,37.0934
